date,Housing_total_sales_NO_SI,Gray_cement_dispatch_contractor,RADAR_Tools,Housing_total_launch_NO_SI,Housing_total_sales,Gray_cement_dispatch_other,RADAR_Plumbinglag_3,Housing_total_launch_NO_SIlag_4,Seasonal,Offshore_microcredit_loans,Quantity
11/30/2017,5534,204609.2955,85871756323,5485,15203,48852.1375,57658600802,3484,0.462238666,0.3929106,0.125724566
12/31/2017,5445,173410.2235,88724173144,5069,13308,44684.8255,58332511985,6226,-1.01981232,0.46635537,-0.46625012
1/31/2018,6182,164533.7415,60481854799,5063,15178,48979.984,58266962798,6560,1.432420999,0.47452558,0.373315149
2/28/2018,5815,187826.764,64002772470,2976,15088,52459.5865,57833217837,4097,1.434761854,0.56018726,0.177305937
3/31/2018,6247,190777.175,75774980950,8238,15156,57222.7155,75068155792,5485,-0.277287549,0.60023786,-0.26539679
4/30/2018,5764,173670.5205,86105216678,4854,15742,51782.021,60779449886,5069,-1.696388761,0.60956921,-1.284734397
5/31/2018,5354,201853.6265,92043898399,5046,15169,58211.192,58828758610,5063,-0.906402148,0.6667375,-0.544070756
6/30/2018,5257,186050.886,83186558859,4153,13865,53401.4135,58720132286,2976,-1.058732981,0.66443945,-1.059705057
7/31/2018,5810,210880.217,92996822090,5249,16381,58370.5255,56961912572,8238,0.197460075,0.66486417,0.441626826
8/31/2018,5980,201432.7395,75640252759,5869,16799,60741.767,58771850613,4854,1.092847413,0.53726023,0.388684917
9/30/2018,5671,199959.0345,83741068305,5656,16424,57529.714,53996622677,5046,-0.357838563,0.47969566,-0.03969465
10/31/2018,5332,218082.8555,68221746451,3439,16753,62571.154,65290686278,4153,0.378157442,0.44076593,0.162713657
11/30/2018,5288,194483.005,71920962994,5077,16257,62378.7325,59334599810,5249,0.462238666,0.43564377,-0.15653767
12/31/2018,5194,189369.8275,51248038842,4009,18485,59204.9275,62598655182,5869,-1.01981232,0.36010618,-0.464829794
1/31/2019,6276,171294.2925,86918131405,3328,19657,63497.4805,51819476260,5656,1.432420999,0.31482716,0.781391077
2/28/2019,5967,200267.1225,91034454861,5622,17748,66605.98,42007380973,3439,1.434761854,0.35495097,0.282935615
3/31/2019,3284,154881.059,93880275110,3549,10255,45302.2495,70315678785,5077,-0.277287549,0.37910387,-2.775615446
4/30/2019,1864,28778.9925,1.34E+11,3206,6301,8669.1685,81123589312,4009,-1.696388761,0.7828811,-5.407072751
5/31/2019,2756,127786.6639,1.26E+11,1856,9571,38729.30299,40965504687,3328,-0.906402148,0.80383637,-2.384583797
6/30/2019,4571,162568.109,1.26E+11,1958,14737,48678.50649,69174939554,5622,-1.058732981,0.79220385,-1.585969606
7/31/2019,5011,194331.3399,1.16E+11,3358,17074,60127.07346,51611705137,3549,0.197460075,0.73584606,-0.401526757
8/31/2019,5364,189811.9185,91809631741,5141,17651,64861.93399,44759269288,3206,1.092847413,0.71755572,-0.271451995
9/30/2019,6348,216761.3535,1.05E+11,4666,21127,68395.65247,44795584336,1856,-0.357838563,0.70374511,0.44247904
